trial_number,value,lr,weight_decay,hidden_size,dropout,optimizer,gamma
85,0.0092088824110138,0.0006888961828352,2.346024189632022e-06,133,0.1676439095207813,adamw,0.9040179313193046
86,0.007467887225648,0.000676213966262,2.2133791276922686e-06,131,0.166354784152873,adamw,0.9036752017976528
87,0.0065831239253043,0.0006978745917231,2.267028819274e-06,133,0.1504295605038209,adamw,0.9109970856017564
88,0.0066517653564728,0.0007061861409729,2.303555999659707e-06,133,0.1506600661478734,adamw,0.9104192153291576
89,0.0046771936018499,0.0008632564018448,2.249227215308378e-06,132,0.1389992190737621,adamw,0.910771259132391
90,0.0357350098242859,0.0008229391074286,2.195070919772589e-06,146,0.1418803033831759,adamw,0.9104607237626756
91,0.0112053091183707,0.0004469495802993,2.235891890799156e-06,137,0.1397704009022466,adamw,0.9112360180939356
92,1.0061877608892469,0.0008830261800718,2.1971335106259395e-06,132,0.1518823482600451,adam,0.9066550401183442
93,0.0037401458402315,0.0006805438127748,1.4370269796208304e-06,132,0.1012575286941618,adamw,0.9039602541815936
94,0.0042723063406839,0.000702316306484,1.4452104318885786e-06,133,0.0938373274787211,adamw,0.9085800873241896
95,0.0341728298898161,0.0007261606074031,0.0001166654617091,146,0.0879943215668742,adamw,0.9098716941965576
96,0.0138382405368576,0.0007014423279319,3.5576455631813246e-06,133,0.1971809567852346,adamw,0.9066943638530426
97,0.0241998591009571,0.0004922990769327,0.0006782965558141,113,0.1018004926707564,adamw,0.9090577703364106
98,0.008704160527612,0.000645929152403,1.485272496433798e-06,134,0.1545727587992894,adamw,0.9041004567041544
99,0.009137761309541,0.000685376338722,1.6737068012995333e-06,134,0.1578165042983091,adamw,0.9033507895690434
0,1.018618245967865,0.000296796004233,0.0021016065286826,117,0.1725589707458762,sgd,0.9850536226496718
1,0.3146877913108354,8.989536070188395e-05,0.001641397463362,74,0.2487997312489553,adamw,0.9196516989711816
2,1.0993737581193297,0.0005708738403126,2.901389738989429e-06,156,0.2411595358436138,sgd,0.9179394433270702
3,1.3081488516602842,0.0004184664521763,0.0001236179187325,75,0.2639926579651553,adam,0.968279159736891
4,2.444586290012294,0.0031077707308551,6.402630603732141e-05,248,0.0483338745135653,sgd,0.9937393516738076
5,2.189043888550421,2.37153759434309e-05,8.704533343347794e-05,237,0.1074008860218725,adam,0.9206030359340238
6,1.4694658854652694,1.4845995114974215e-05,0.0009158233608087,196,0.1690704961297205,sgd,0.9023541464538232
7,1.6866653481894072,0.0017579528582535,0.0083889072098487,202,0.4716430348128352,sgd,0.9204355426588278
8,1.0042273447311203,0.0003614763411462,1.4836428001107088e-06,124,0.1480945798713263,adam,0.9328976113414272
9,0.0270372459400704,0.0001596165155107,1.1731022391075929e-06,135,0.2466834082680339,adamw,0.9255552554034018
10,1.1235048853395335,7.424985529710049e-05,2.768665911817068e-05,25,0.3501572637830961,adamw,0.9486799160223732
11,0.3542942940690294,7.587285028786958e-05,8.466383790948049e-06,73,0.3272984518213866,adamw,0.9397423572323956
